,fileName,sentence
0,./data_dsicap/SeaShepherds/raw/SS14.txt,"['And yet , with every single day we amassed more support from around the world and we made deeper impacts with our efforts to save our oceans .', 'When she tried to fish illegally , we blockaded her .', 'We came in and cleaned out the illegal fishing gear she left behind .', 'And because of us , because of all you brave men and women , the perpetrators of these crimes will be seeing the world through the bars of a prison cell for the next three years .']"
1,./data_dsicap/SeaShepherds/raw/SS07.txt,"['After the highly anticipated arrival of the Farley Mowat to the Sea of Cortez , we have concentrated on testing different techniques to find illegal fishing gear hidden undersea .', 'The winter storms forced us to shelter for two weeks while we waited out the high winds and huge swell **CODEC_ERROR** hoping that at least the bad weather would keep the poachers from fishing .', 'Since **CODEC_ERROR** arrived , we have heard about eleven illegal fishermen that have died from trying to fish during the storms .', 'It is shocking to see how far the hunger for money can drive this awful illegal act .', 'We are now finding an average of one illegal fishing gear per day , which we retrieve them from the sea and give to the navy .', 'Meawhile the Farley assures their safety at night , chasing illegal boats and retrieving the nets from the sea once found by the search teams .', 'We then notify the navy that comes to help retrieve the nets and they come to pick up the seized illegal fishing gear .', 'With our latest campaign strategies and techniques , **CODEC_ERROR** managed to find two Totoaba nets .', 'Additionally , a fishing camp was discovered , where we found and seized a hidden Totoaba net and an illegal long line , which is also used to catch Totoabas .', 'It is a relief for the entire Milagro team to be able to find and retrieve those killing tools , and to help save the wildlife that was able to survive until our arrival .']"
2,./data_dsicap/SeaShepherds/raw/SS09.txt,"['On behalf of Sea Shepherd Conservation Society , I am very happy to announce that Pamela Anderson has joined Sea **CODEC_ERROR** Board of Directors and has been appointed Chair of Sea Shepherd Conservation Society .', 'She is an international icon whose understanding of the nature of media has enabled her to be an effective and outspoken advocate for all animals and for Sea Shepherd .', 'She has traveled to Newfoundland to oppose the slaughter of seals .', 'She has spoken before representatives of the government of Russia to stop the trans-shipment of whale meat from Iceland through Russian waters and against the capture and captivity of orcas and dolphins by Russia .', 'She is a powerful voice against SeaWorld and a longtime opponent of the fur industry .', 'Born and raised on Vancouver Island , she is very much aware of the threats to orcas , sea otters , salmon and other species on the West Coast of North America and she continues to speak out against the destruction caused by salmon farms , over-fishing and illegal fishing .', 'In 1977 I took Brigitte Bardot to the ice floes off Newfoundland to pose with a baby seal , a picture that did more than anything else to focus worldwide attention on the slaughter of baby seals in Canada .', 'Please join me in welcoming Pamela Anderson to this important leadership position with Sea Shepherd Conservation Society .']"
3,./data_dsicap/SeaShepherds/raw/SS10.txt,"['On November 19 , 2015 , I traveled 55 miles to the island of San Cristobal to bring four **CODEC_ERROR** dogs to the environmental unit of the Ecuadorian National Police .', 'These remarkable hounds can differentiate many smells , but in the Galapagos they particularly seek out illegal products being smuggled out of the archipelago , especially shark fins and sea cucumbers , but including wildlife .', 'While these four dogs are just beginning their service to the remarkable eco-system of the Galapagos Islands **CODEC_ERROR** a UNESCO World Heritage Site **CODEC_ERROR** an agreement signed by Colonel Zambrano and myself now brings to a close a process that began in Holland with the selection of the dogs at the Canine Center , which specializes in selecting individual animals for their power of detection through a remarkable sense of smell and for their concentration .', 'After their acquisition by Sea Shepherd Conservation Society , it was necessary for the dogs to be vaccinated and checked to ensure they were in excellent health and would meet international standards for exportation from Holland and importation to Ecuador .', 'Upon their arrival , the **CODEC_ERROR** dogs were taken to the Regional Center for Dog Training ( CRAC ) in Quito , the capital city of Ecuador .', 'There , both dogs and handlers ( eight trainers in total for the four dogs ) were educated and prepared to fulfill their important and **CODEC_ERROR** relationships and roles , preventing the illegal trafficking of wildlife .', 'It has recently been demonstrated by researchers that Galapagos is the most **CODEC_ERROR** place on the planet , with many sharks inhabiting these waters .', 'It is not believed that this was always the way , but because the rest of the world has suffered a gross destruction of fish stocks , Galapagos has been left as a **CODEC_ERROR** , **CODEC_ERROR** a unique eco-system on a planet once teeming with wildlife , including crucially important apex predators such as sharks .', 'We have rebuilt kennels for the dogs on Isabela Island and San Cristobal , and are planning to build new ones on Santa Cruz Island .', 'As these dogs begin their efforts in the Galapagos , **CODEC_ERROR** the dogs of war , **CODEC_ERROR** a quote from Shakespeare , seems apt .']"
4,./data_dsicap/SeaShepherds/raw/SS08.txt,"[""Greenpeace has now crossed the line with their endorsement of seal fur as `` sustainable . ''"", 'I initiated and led the first Greenpeace campaigns against sealing from 1975 until 1977 .', 'I really never thought I would see the day when Greenpeace would sell out to the sealing industry .', 'Our Ocean is dying and Greenpeace seems to be in abject denial of this reality .', 'We need seals to help maintain a healthy marine eco-system .', 'As a co-founder of Greenpeace I feel sick and betrayed by this new policy flip-flop by Greenpeace .', 'How long before Greenpeace endorses the illegal whaling operations by Japan which they still raise funds for campaigns that they never actually do ?', 'I have tried to hold my tongue over the last few years with regard to Greenpeace but this , this is a deceitful betrayal of what we created in the Seventies .', 'They have simply spat in the face of their founders like myself , David Garrick and the late Robert Hunter with this shocking revelation that the Greenpeace Foundation is a pro-sealing organization .', 'We risked our lives to save seals from the clubs of the sealers .', 'I was personally beaten by sealers and jailed for intervening against the seal slaughter .', 'I was dragged through icy waters and across a blood soaked deck through a gauntlet of sealers on a sealing ship in 1977 .', 'They kicked and hit me with their clubs , spit on me and pushed my face into the blood and the gore and Greenpeace exploited those images to raise funds at the time and now they dismiss that sacrifice and the hard work and dangerous risks taken by Greenpeacers back then without even the courtesy of an apology to us who carried their banner .', 'These people calling themselves Greenpeace today never took any risks for the seals , were never arrested , they have never even been to the ice floes to see the brutality with their own eyes .', 'Shame on you Greenpeace , this is unforgivable and a blatant revelation of just how far Greenpeace has drifted from its roots .']"
5,./data_dsicap/SeaShepherds/raw/SS03.txt,"['In Sea Shepherd Conservation **CODEC_ERROR** latest scientific research campaign , we are studying the toxicology levels in whales in the Gulf of California .', 'This research campaign will help achieve that as the study will help us to understand the environment so we can change our destructive habits and apply new laws for the protection of the environment .']"
6,./data_dsicap/SeaShepherds/raw/SS16.txt,"['SeaWorld asked the California Coastal Commission for a permit to expand their pools , and that proposal would cost $ 100 million dollars .', ""They were adamant that the reason for the expansion was to provide more room and `` freedom '' for their captive Orcas ."", 'Because they really do care for the welfare of the Orcas .', 'Because if SeaWorld has any future at all , it needs to have a steady supply of Orca slaves to amuse the animal-abusing , ticket-buying gawkers .', 'SeaWorld was successful in securing their coveted permit , but the permit came with a condition - no breeding programs .', 'It would have been better for shareholders if the permit had been denied and the $ 100 million not spent , because now they get an expensive expansion but with no prospect of securing more Orcas .', 'Now if they do not proceed with the pool expansion , they will be stating loud and clear that the expansion was planned as part of a breeding program .', 'It will expose yet another lie and people will realize that all the talk about caring for the Orcas and wanting to give them more room was just a cover to expand the pools for breeding programs .', 'Thus the shareholders lose if the $ 100 million is spent for expansion without breeding , and they lose if the expansion is cancelled because the public will see it as a deceitful move to have a breeding program .', 'It is surprising that there are any SeaWorld shareholders left , and those who stayed since the release of the film **CODEC_ERROR** have lost a considerable amount of money .']"
7,./data_dsicap/SeaShepherds/raw/SS11.txt,"['Japan returns to the killing fields with an arrogant confidence that they will be unopposed .', 'In response , Japan developed a new **CODEC_ERROR** whaling program **CODEC_ERROR** yet another transparent attempt to justify its commercial slaughter as **CODEC_ERROR** But the International Whaling Commission ( IWC ) rejected the program , finding it both unscientific and unlawful .', 'This cessation in their whaling operations was an acknowledgement that they accepted the ruling of the court .', 'Now , in open and arrogant defiance of the Australian Federal Court , the International Court of Justice and the International Whaling Commission , Japan has announced that they will return to kill whales in the Southern Ocean .', 'The question is , will they , or have they been compromised by threats of trade retaliation from Japan ?', 'There is no question that Sea Shepherd opposition has been a leading factor in bringing Japanese whalers to their knees in reduction in quotas and in focusing international public attention on **CODEC_ERROR** nefarious whaling activities .', 'Our opposition dates back to 2002 : 2002/2003 : Operation Cold as Ice - 0 whales saved .', 'In 2011 , the whalers sued the U.S. Sea Shepherd entity **CODEC_ERROR** Sea Shepherd Conservation Society **CODEC_ERROR** and me in U.S. federal court , and were able to obtain an injunction barring us from approaching the whaling vessels .', 'Sea Shepherd Conservation Society complied with this injunction , but foreign participants in the global Sea Shepherd movement , including Sea Shepherd Global and Sea Shepherd Australia , continued their opposition : 2012/2013 : Operation Zero Tolerance ( Season Six of Whale Wars ) - 932 whales saved .', 'Not only did the whalers secure a temporary injunction from the Ninth Circuit Court of Appeals , but they also persuaded that court to find us in contempt , despite our extensive efforts to comply with the injunction **CODEC_ERROR** because we did not prevent foreign Sea Shepherd entities beyond our control from going forward with Operation Zero Tolerance .', 'During our Southern Ocean campaign in 2010 , the Japanese whaling ship Shonan Maru No .', 'Japan also used its economic and political clout to have an INTERPOL Red Notice issued against me , demanding my extradition on the charges of **CODEC_ERROR** to trespass on a whaling **CODEC_ERROR** and **CODEC_ERROR** with **CODEC_ERROR** Japan uses the courts to get what it wants and ignores the court rulings against it .', 'Yet the Japanese whalers made a major mistake in bringing their case in U.S. federal court , because this gives Sea Shepherd the legal grounds to countersue them .', 'By suing Sea Shepherd in the United States , the whalers submitted themselves to U.S. jurisdiction .', 'Since they brought their lawsuit , our case has changed from a defensive action to a legal attack on Japanese whaling .', 'We are currently seeking rulings that would end Antarctic whaling , declare the whalers to be pirates , award us damages for the loss of the Ady Gil , secure an injunction protecting all Sea Shepherd ships from the **CODEC_ERROR** attacks , and overturn the injunction prohibiting Sea Shepherd Conservation Society from interfering with Japanese whaling .', 'We can not simply defeat the Japanese on the water ; we need to defeat them for good in the courts , and we can not surrender to their arrogance in defying international law .', 'Sea Shepherd has contributed to Japanesewhaling operational losses and to the now-diminished quota of 333 whales annually , instead of the 1035 whales that they previously and unsuccessfully attempted to kill every year .', 'We are talking about the integrity of the Southern Ocean Whale Sanctuary , which demands nothing less than a zero quota .', 'The logistics of the situation in the Southern Ocean have changed considerably since Japan announced its new program Lowering the quota and expanding their hunting area means it would be more difficult and take more time to track down the whaling fleet , and in the time that would take , they could kill most of their quota .', 'Although Sea Shepherd Australia is sending the Steve Irwin to the Southern Ocean this December on a mission to intervene against illegal activities in the Southern Ocean , it is unlikely that they will make any dent in the **CODEC_ERROR** killing .', 'They will have three harpoon vessels to block any approach by any Sea Shepherd Australia ship .', 'We need to show the U.S. courts that they should take action to stop **CODEC_ERROR** illegal whaling , not to protect it .', 'We will abide by the U.S. injunction while it remains in place , because we respect the rule of law .', 'With your help , we have the opportunity to stop the whalers for good .', 'But they have millions from the Japanese government to fund their legal fight , and they are trying to use their money to bully us into submission .']"
8,./data_dsicap/SeaShepherds/raw/SS18.txt,"['A few people have asked me to explain just why it is that humanity will die if the ocean dies .', 'But food being taken from the ocean is the least of the factors that will kill us .', 'The ocean is the life support system for the planet , providing 50 % of the oxygen we breathe and regulating climate .', 'Is cheap fishmeal for domestic animals worth robbing the planet of our oxygen supplies ?', 'In order to restore phytoplankton populations we need to restore whale populations and we need to abolish the industrialized exploitation of bio-diversity in the ocean .', 'We also need to have governments end all subsidization of commercial fishing operations .', 'It is a simple concept to understand **CODEC_ERROR** more humans eating fish , directly or indirectly ( i.e .', 'I call this the **CODEC_ERROR** of **CODEC_ERROR** There must be a global moratorium on all industrialized fishing .', 'We need to return whale and fish populations to pre-exploitation levels .', 'Will it cost profits ?', 'Will it costs jobs ?']"
9,./data_dsicap/SeaShepherds/raw/SS19.txt,"['We need enforcement but there is a lack of political and economic will to enforce these regulations .', 'I was raised in a fishing village on the eastern coast of Canada .', 'I have personally witnessed the diminishment of many of these species .', 'I have not eaten fish for decades .', 'I view the eating of fish as ecologically irresponsible and many years ago declared a self-imposed taboo on eating fish .', 'One of the reasons that I do not eat meat , aside from the considerable ethical and ecological considerations , is that some 40 % of the fish taken from the sea is converted into fish meal to feed chickens and pigs and domestic salmon .', 'We also feed a great amount of fish to domestic house cats and fur-bearing animals .', 'Eating fish caught by heavy-gear technology , by long lines , gill nets , purse seiners , super trawlers and bottom trawlers , or fish raised on salmon farms , is killing our Ocean .', ""In the meantime , I like my fish . ''"", 'I like my fish also .', ""A fish is more valuable to humanity swimming free in the sea than it is on someone 's plate ."", 'One of the solutions to climate change that very few want to hear is that we need to shut down industrialized fishing operations to revitalize bio-diversity in the sea .', 'When the fish are no more , the sea will die and when the Ocean dies **CODEC_ERROR** we die !']"
