,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,toBeFrac,pronounFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC
0,ISIS_train8,5,24.3485460281,"allah, tandhīm, ibn, abū, wa, ﻿, sallallāhu, alayhi, sallam, shām, waziristan, arena, prison, umar, messeng, ask, crusad, ’s, dabiq, rahimahullāh",0.0153896561109,0.0241538396425,0.2,0.8,0.356594871153,0.197743575299,0.800556412223,0.00824371061733,0.00511678590041,0.0109442365092,0.0225517600796,0.0170085753541,0.000900175297295,0.0090965082674,0.771120606988,0.651571390128
1,Shepherd_train3,5,15.5923278332,"s, get, love, mom, sin, said, thing, don, go, t, want, christma, thank, woman, know, barrel, god, say, everyth, mind",0.0350856325417,0.0216771108114,0.8,0.2,0.319566736006,0.0754275910669,0.62551003594,0.0186529972946,0.020148084864,0.0215007831411,0.00797380037021,0.0167307418482,0.0112487540937,0.0133845934786,0.684470445466,0.673830133844
2,Ghandi_test0,5,23.8921670914,"div, href, class, meta, svg, td, li, https, id, numlnum, button, rel, content, width, numcnum, mnum, viewbox, ariahidden, fillrul, evenodd",0.010491801908,0.00659124639431,1.0,0.0,0.142180724045,0.172244650434,0.711290305779,0.00604193341869,0.00544174135723,0.0136043533931,0.00364116517286,0.00236075544174,0.000320102432778,0.00472151088348,0.638848715135,0.615521310086
3,ISIS_test2,5,9.40689492226,"crusad, isi, ﻿, apost, qaeda, nusra, syrian, al, mujāhidīn, islam, syria, jihād, enemi, will, ibn, nationalist, flag, dabiq, jawlānī, …",0.0157667841725,0.0207826331272,0.2,0.8,0.391897122078,0.210694289499,0.603737794382,0.00575252406668,0.00211317210613,0.00387414886124,0.0181967598028,0.00692650857009,0.0,0.0131486264381,0.722249760972,0.692935707078
4,MehrBaba_train6,5,8.30042791367,"imperson, realiz, imper, baba, mind, real, self, pure, conscious, reaction, i, master, ideal, truth, oneini, true, individu, realm, masteri, servitud",0.0313120126981,0.0145810927668,1.0,0.0,0.382128285589,0.209579101573,0.672367046822,0.010342185904,0.00191521961185,0.0268130745659,0.00395812053115,0.0137895812053,0.00204290091931,0.0199182839632,0.769261196434,0.81693049763
5,Unitarian_train6,5,21.3360590935,"fear, get, am, gay, anger, know, silenc, i, angri, want, say, love, let, go, ask, too, christma, tell, rustin, vote",0.028913391254,0.0280008088931,0.8,0.2,0.356631720145,0.117045606975,0.635985650747,0.0150255589405,0.0129085557908,0.0264367222595,0.0155935353953,0.00944906283885,0.00278824805081,0.0112046264264,0.678725361844,0.609654877184
6,NaumanKhan_train5,5,29.9796309471,"allah, say, get, quran, know, thing, merci, nt, talk, qur'an, someth, want, go, ayah, na, realli, don't, s, surah, prais",0.0226347719182,0.0170063448248,1.0,0.0,0.428070244979,0.105070277405,0.690520904905,0.015567060799,0.0343524802351,0.0136080598895,0.0175610438676,0.0142027565941,0.00104946477297,0.0194150982999,0.679648885953,0.605376336259
7,PastorAnderson_train5,5,55.372879982,"s, re, say, nt, bibl, get, want, go, vers, unto, talk, let, whi, thing, save, preach, shall, look, vain, god",0.0254374056313,0.0179249935068,1.0,0.0,0.334489896405,0.0465446929947,0.534093789789,0.0181033691361,0.0240705039934,0.0174607546131,0.0158450380979,0.0145598090517,0.000789497842651,0.0172955108785,0.682812052576,0.619015809915
8,Rabbinic_train4,5,12.6817491055,"israel, cousin, jew, mose, know, jewri, jewish, am, sing, happen, realli, want, let, get, isra, god, anger, benji, hope, i",0.0196230867255,0.0257910040218,0.6,0.4,0.513299672481,0.225505876809,0.753853866013,0.0215044247788,0.00557522123894,0.0162831858407,0.00938053097345,0.00973451327434,0.00336283185841,0.0103539823009,0.702746744982,0.75295538512
9,Bahai_train5,5,5.04488682747,"abdu'lbaha, color, perfect, baha'i, marriag, imagin, look, weak, coupl, everyon, friendship, uniti, baha'u'llah, creator, talk, mankind, conting, p, must, imperfect",0.0230662776483,0.016846277612,0.6,0.4,0.350054874703,0.142226083775,0.61334674715,0.0118000925497,0.0164275798242,0.00416473854697,0.00948634891254,0.00647848218417,0.00532161036557,0.0108745950949,0.688603705566,0.577291296046
10,NaumanKhan_train8,5,30.9864580631,"allah, nt, get, talk, say, ask, know, na, gon, thing, am, ayah, let, want, s, dua, ramadhan, surah, ibrahim, someth",0.0196343377434,0.015039542274,0.8,0.2,0.440229631554,0.157945973645,0.744768494831,0.0175228290378,0.0419560695272,0.0200260903289,0.0194267179071,0.0177696294468,0.000951944434651,0.0137855657018,0.660100932529,0.562390723384
11,IntegralYoga_train3,5,4.14939594269,"yoga, mind, god, asana, don't, love, get, breath, medit, devot, everyth, rememb, exercis, let, joy, clean, want, attain, postur, whi",0.0428886331955,0.0149265014092,1.0,0.0,0.396978097622,0.0736184814351,0.710232373801,0.0302663438257,0.0375302663438,0.00847457627119,0.00484261501211,0.00151331719128,0.00242130750605,0.0151331719128,0.75994096667,0.643018746361
12,IntegralYoga_test0,5,4.57552504539,"don't, happi, pain, fruit, boat, want, everyth, whi, get, yoga, should, mind, anyth, noth, someth, away, say, if, tree, wrong",0.0270841434686,0.0205419135117,0.8,0.2,0.434678028722,0.0463747361013,0.706205882704,0.0140488901377,0.0618151166058,0.0103961787019,0.00618151166058,0.00252880022478,0.000561955605507,0.0252880022478,0.752387345021,0.600636985899
13,ISIS_train5,5,12.9414908886,"allah, ﻿, dollar, hijrah, wa, alayhi, sallam, mujāhidīn, sallallāhu, ’s, crusad, ibn, currenc, khilāfah, abū, kuffār, dabiq, ask, kufr, rahimahullāh",0.015980870806,0.0280881629074,0.2,0.8,0.36947399607,0.160000274273,0.747432872414,0.00691443388073,0.00777873811582,0.0057044079516,0.0223854796889,0.0104580812446,0.00250648228176,0.0132238547969,0.77489137395,0.609079764022
14,PastorAnderson_test0,5,56.1833720207,"s, re, say, nt, get, go, want, vers, sorrow, whi, know, truth, chapter, unto, sin, let, thing, bibl, tell, god",0.0262571177934,0.0232781875792,0.8,0.2,0.484082806725,0.0726597349192,0.663031433867,0.0142870243008,0.0238606143971,0.025969738652,0.0183768913343,0.0198074277854,0.000385144429161,0.0171114167813,0.698132413332,0.758141373168
15,Shepherd_train6,5,15.3379118443,"s, don, get, ask, t, worri, love, christ, want, ill, foolish, heaven, thing, go, taught, said, should, preacher, told, rejoic",0.0332607347934,0.0211153835915,1.0,0.0,0.284560323779,0.0622698947326,0.605018714253,0.0199478395714,0.0198773525058,0.0225558609995,0.0120532882216,0.0222034256714,0.00620286177486,0.00909283146543,0.655247939838,0.671038570812
16,ISIS_test1,5,17.2488720417,"allah, wa, alayhi, ibn, sallam, sallallāhu, messeng, said, jihād, ask, ﻿, inde, abū, imamah, shām, mujāhidīn, advic, libya, will, sinai",0.0188332463463,0.0235891005246,0.2,0.8,0.527637989568,0.158634648996,0.800828417004,0.00730304401215,0.0189362114651,0.00710915788793,0.0148646028566,0.0199702707943,0.00103405932915,0.0129257416144,0.749811721095,0.690871134651
17,Rabbinic_train8,5,11.2869179249,"steinberg, kaplan, synagogu, rabbi, ask, want, know, god, hope, answer, torah, moment, sermon, whi, pain, shall, ourselv, congreg, levi, jewish",0.0200386543725,0.0210425744195,0.4,0.6,0.417072385289,0.176802748858,0.769505062376,0.0276506669263,0.00866517379028,0.0155778405219,0.00749683575114,0.0124622724175,0.000486807516308,0.0121701879077,0.696745216571,0.672161706348
18,MehrBaba_train3,5,7.57851195335,"perfect, finit, spiritu, avatar, master, saint, discipl, absolut, s, conscious, realiti, circl, baba, meher, thiev, benefit, bahaulhuq, tomb, experi, say",0.0344170159862,0.0148192767892,0.8,0.2,0.482378066378,0.366066378066,0.708909090909,0.00289813070569,0.00463700912911,0.00318794377626,0.0114476162875,0.024923924069,0.000144906535285,0.00999855093465,0.735251745843,0.794616117318
19,WBC_test1,5,16.2262601852,"unto, ye, shall, thou, christ, belov, sodomit, s, thing, lord, god, wit, thee, ie, love, thi, saith, say, smyrna, jesus",0.0296176204099,0.02868687277,0.6,0.4,0.416125104326,0.165255355468,0.573597760184,0.00873161764706,0.00800945378151,0.015231092437,0.0186449579832,0.023962710084,0.000262605042017,0.00800945378151,0.729232622841,0.80973250305
