,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,pronounFrac,avgSD,avgEVC
0,Shepherd_train32,10,29.0172271729,"s, don, get, t, christ, merci, god, sin, ill, want, know, go, job, lord, i, said, ask, say, faith, heaven, do, got, didn, spirit, preach, tell, someon, told, jesus, am",0.0343047207984,0.0228046218547,0.8,0.2,0.595008360793,0.702220038275,0.637730372949
1,DorothyDay_test8,10,23.0494990349,"get, worker, labor, room, too, strike, love, christ, go, farm, talk, done, job, night, cloth, fr, silenc, poverti, am, want, say, parish, comfort, street, morn, bread, thing, maurin, theophan, ask",0.0272180181431,0.0214267154781,0.8,0.2,0.684684291158,0.739837561495,0.629479328985
2,Shepherd_train27,10,29.3363001347,"get, s, rememb, bless, love, god, know, ask, wrath, want, i, christ, said, pray, don, talk, ill, thing, do, wisdom, go, say, tell, am, someth, t, too, look, good, pleas",0.0341246478486,0.0249915219015,0.9,0.1,0.641022119509,0.653720593756,0.62956319552
3,Unitarian_train13,10,32.190860033,"garden, unitarian, s, magic, i, love, easter, tell, want, nt, feel, am, say, too, let, know, get, think, thing, silenc, talk, hope, wonder, violenc, told, read, someth, look, better, whi",0.0311020258533,0.0207469146689,0.9,0.1,0.70194083679,0.710098935231,0.662383488826
4,Unitarian_test6,10,32.1497850418,"feel, am, love, say, i, nt, let, get, know, s, thing, talk, too, dont, ask, realli, grief, think, congreg, want, parent, tell, yes, silenc, happen, e, tree, heard, morn, sermon",0.0250931442506,0.0270648475591,0.6,0.4,0.667062108126,0.694840759209,0.646013675449
5,JohnPiper_train57,9,18.4219539165,"christ, god, vers, jesus, s, exult, let, spirit, nt, heaven, boast, say, salvat, thing, discipl, glori, cross, sin, faith, want, whi, chain, will, tell, answer, gospel, know, pray, shall, get",0.0297346606435,0.0159705534038,0.888888888889,0.111111111111,0.715694870789,0.740751914213,0.736398209245
6,WBC_train34,10,30.3295152187,"shall, unto, thi, ye, christ, god, thou, s, lord, sin, thing, love, scriptur, spirit, heaven, say, sabbath, bibl, promis, chariti, let, prophet, hath, will, thee, nt, nor, preach, ahab, coven",0.0299767203697,0.0251186931329,0.7,0.3,0.608115535172,0.739890273499,0.740466360234
7,DorothyDay_train68,10,20.7216129303,"get, worker, say, prison, fear, tri, pilgrimag, go, priest, farm, night, fr, prayer, walk, retreat, i, negro, room, street, too, bread, stay, talk, woman, thing, picket, peggi, dont, know, jail",0.0199032892029,0.0202925806368,0.6,0.4,0.77067975858,0.725703328472,0.701947778528
8,Shepherd_train44,10,27.8169839382,"s, get, don, want, said, t, ill, ask, job, friend, christ, go, say, god, someon, worri, i, let, whi, thank, told, lazi, know, someth, thing, sin, do, pray, am, tell",0.0290414974631,0.0239529370258,0.7,0.3,0.607798438674,0.682293226482,0.614215992065
9,Shepherd_test15,10,25.000136137,"s, christ, get, sin, ask, god, love, ill, don, want, preacher, heaven, said, t, grace, go, jesus, evil, know, i, thing, whi, do, yes, prais, told, let, got, say, will",0.0376913265338,0.0242067460086,1.0,0.0,0.583836546156,0.695763030418,0.652990482279
